,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
3,Santa Clara,23.0,22.0,22.0,23.0,53.0
4,Los Angeles,21.0,20.0,23.0,22.0,19.0
5,Los Angeles,15.0,15.0,17.0,16.0,33.0
6,Los Angeles,18.0,18.0,18.0,17.0,16.0
13,Los Angeles,29.0,29.0,25.0,25.0,36.0
16,Contra Costa,29.0,29.0,28.0,27.0,99.0
18,Santa Clara,14.0,14.0,15.0,15.0,34.0
19,San Bernardino,19.0,17.0,18.0,18.0,28.0
20,Ventura,23.0,23.0,23.0,22.0,91.0
21,Santa Clara,25.0,24.0,24.0,24.0,138.0
22,Los Angeles,27.0,26.0,25.0,24.0,140.0
23,Los Angeles,14.0,14.0,16.0,15.0,112.0
25,Alameda,28.0,27.0,27.0,26.0,93.0
27,Alameda,28.0,27.0,27.0,26.0,58.0
29,Los Angeles,23.0,23.0,21.0,21.0,139.0
30,Los Angeles,24.0,25.0,24.0,23.0,93.0
31,Contra Costa,25.0,23.0,25.0,23.0,40.0
32,Monterey,18.0,17.0,18.0,18.0,206.0
33,Orange,26.0,27.0,27.0,26.0,286.0
34,Los Angeles,17.0,16.0,17.0,18.0,77.0
35,Los Angeles,15.0,14.0,16.0,16.0,155.0
36,Los Angeles,18.0,20.0,19.0,18.0,70.0
37,Los Angeles,16.0,16.0,18.0,17.0,80.0
39,Los Angeles,16.0,16.0,17.0,17.0,162.0
40,Los Angeles,18.0,18.0,18.0,18.0,155.0
41,Los Angeles,19.0,18.0,19.0,19.0,157.0
42,Los Angeles,17.0,16.0,16.0,16.0,139.0
43,Los Angeles,15.0,13.0,16.0,16.0,86.0
44,Los Angeles,15.0,14.0,16.0,16.0,148.0
45,Los Angeles,16.0,14.0,17.0,16.0,164.0
46,Los Angeles,15.0,13.0,15.0,15.0,143.0
47,Los Angeles,16.0,14.0,16.0,16.0,147.0
49,Los Angeles,17.0,16.0,18.0,17.0,110.0
50,Los Angeles,15.0,14.0,16.0,16.0,89.0
53,San Bernardino,23.0,22.0,22.0,22.0,56.0
57,Amador,25.0,25.0,25.0,24.0,17.0
58,Alameda,29.0,29.0,28.0,28.0,280.0
61,Napa,23.0,23.0,24.0,24.0,41.0
62,Alameda,29.0,30.0,30.0,29.0,136.0
64,Orange,19.0,18.0,19.0,19.0,66.0
66,Sonoma,27.0,27.0,25.0,24.0,33.0
70,Los Angeles,26.0,27.0,26.0,25.0,21.0
71,Santa Clara,23.0,22.0,23.0,23.0,26.0
72,Solano,25.0,24.0,23.0,24.0,52.0
73,Los Angeles,16.0,17.0,17.0,18.0,35.0
74,Los Angeles,18.0,17.0,18.0,18.0,99.0
75,Los Angeles,17.0,15.0,18.0,17.0,58.0
76,Los Angeles,16.0,15.0,17.0,17.0,127.0
77,Los Angeles,15.0,15.0,17.0,16.0,120.0
80,Los Angeles,17.0,16.0,17.0,17.0,86.0
81,Los Angeles,19.0,18.0,18.0,17.0,21.0
82,Santa Clara,25.0,24.0,25.0,24.0,83.0
83,Placer,23.0,22.0,22.0,22.0,92.0
84,Los Angeles,21.0,18.0,17.0,19.0,18.0
86,Contra Costa,20.0,18.0,18.0,19.0,50.0
88,Los Angeles,15.0,13.0,15.0,15.0,30.0
89,San Bernardino,22.0,22.0,20.0,21.0,55.0
90,Los Angeles,20.0,18.0,16.0,18.0,26.0
91,Santa Cruz,26.0,25.0,24.0,24.0,65.0
92,San Mateo,28.0,28.0,28.0,26.0,93.0
93,Los Angeles,28.0,29.0,28.0,27.0,192.0
94,Humboldt,28.0,26.0,25.0,25.0,40.0
96,Amador,23.0,21.0,21.0,21.0,20.0
100,Riverside,18.0,18.0,19.0,18.0,123.0
101,Solano,23.0,24.0,23.0,23.0,26.0
102,Orange,28.0,29.0,28.0,27.0,225.0
103,San Luis Obispo,23.0,22.0,22.0,22.0,158.0
104,Los Angeles,22.0,21.0,23.0,22.0,29.0
105,Alameda,21.0,22.0,23.0,22.0,32.0
106,San Bernardino,19.0,17.0,18.0,18.0,51.0
107,Los Angeles,19.0,18.0,20.0,19.0,27.0
109,Kern,19.0,18.0,18.0,19.0,71.0
110,San Francisco,29.0,28.0,24.0,25.0,39.0
111,Sacramento,16.0,14.0,17.0,16.0,44.0
112,San Joaquin,21.0,20.0,20.0,20.0,98.0
113,San Mateo,16.0,14.0,18.0,15.0,31.0
114,Alameda,18.0,17.0,17.0,17.0,151.0
115,San Joaquin,17.0,16.0,17.0,17.0,94.0
116,Alameda,15.0,14.0,17.0,15.0,48.0
117,Los Angeles,16.0,16.0,17.0,17.0,133.0
118,Los Angeles,15.0,14.0,16.0,16.0,99.0
119,Contra Costa,17.0,16.0,16.0,17.0,59.0
120,Stanislaus,18.0,18.0,18.0,18.0,23.0
123,San Luis Obispo,26.0,25.0,25.0,25.0,34.0
124,Merced,19.0,17.0,17.0,19.0,71.0
128,Los Angeles,16.0,15.0,17.0,16.0,26.0
129,Los Angeles,15.0,13.0,15.0,15.0,25.0
132,Kings,16.0,14.0,15.0,16.0,112.0
134,Los Angeles,17.0,16.0,18.0,19.0,25.0
136,Kern,24.0,21.0,23.0,22.0,47.0
137,San Francisco,20.0,19.0,21.0,20.0,42.0
138,Los Angeles,21.0,19.0,20.0,20.0,114.0
139,Riverside,18.0,17.0,18.0,18.0,51.0
141,San Bernardino,18.0,17.0,19.0,19.0,26.0
142,Los Angeles,23.0,22.0,22.0,22.0,21.0
146,San Joaquin,20.0,20.0,22.0,22.0,50.0
147,Nevada,23.0,22.0,23.0,22.0,22.0
148,Riverside,22.0,20.0,20.0,21.0,48.0
149,Los Angeles,18.0,17.0,17.0,19.0,175.0
150,Los Angeles,18.0,17.0,18.0,18.0,178.0
151,Sacramento,26.0,25.0,26.0,25.0,74.0
153,Los Angeles,17.0,15.0,17.0,16.0,31.0
154,Solano,27.0,26.0,25.0,25.0,67.0
155,Los Angeles,18.0,17.0,19.0,18.0,108.0
156,Alameda,26.0,26.0,25.0,25.0,222.0
158,Los Angeles,28.0,29.0,27.0,26.0,91.0
163,Los Angeles,20.0,19.0,20.0,19.0,37.0
164,Inyo,23.0,22.0,22.0,22.0,27.0
166,Los Angeles,23.0,22.0,22.0,22.0,37.0
167,San Bernardino,21.0,21.0,20.0,21.0,17.0
168,Orange,21.0,21.0,21.0,20.0,99.0
169,Los Angeles,23.0,22.0,22.0,22.0,115.0
170,San Diego,24.0,24.0,24.0,24.0,72.0
176,Santa Clara,28.0,28.0,27.0,26.0,67.0
177,Imperial,19.0,18.0,18.0,18.0,115.0
178,Orange,26.0,26.0,26.0,26.0,121.0
180,Los Angeles,18.0,17.0,17.0,19.0,45.0
182,Fresno,26.0,24.0,24.0,25.0,125.0
183,Ventura,23.0,22.0,22.0,22.0,55.0
184,Orange,22.0,20.0,21.0,22.0,35.0
185,Merced,21.0,19.0,19.0,20.0,64.0
186,Fresno,21.0,20.0,22.0,21.0,24.0
187,Los Angeles,25.0,25.0,25.0,24.0,94.0
189,San Mateo,27.0,27.0,27.0,26.0,131.0
191,Kern,27.0,26.0,27.0,26.0,15.0
192,Los Angeles,26.0,26.0,24.0,24.0,81.0
193,San Francisco,20.0,20.0,21.0,20.0,50.0
196,Sacramento,27.0,25.0,23.0,24.0,74.0
197,Santa Barbara,26.0,24.0,24.0,25.0,27.0
198,Los Angeles,18.0,17.0,18.0,17.0,52.0
199,San Bernardino,21.0,19.0,19.0,20.0,100.0
200,Los Angeles,27.0,28.0,25.0,25.0,182.0
201,Calaveras,25.0,22.0,24.0,23.0,19.0
204,Imperial,20.0,19.0,21.0,20.0,90.0
205,Los Angeles,26.0,27.0,27.0,25.0,65.0
210,Orange,25.0,25.0,23.0,24.0,30.0
213,Contra Costa,27.0,26.0,26.0,26.0,203.0
214,Los Angeles,21.0,20.0,20.0,20.0,58.0
219,Alameda,16.0,13.0,15.0,17.0,21.0
220,Riverside,16.0,14.0,15.0,16.0,26.0
